date,province,no_patient,pm25
2020-01-01,กรุงเทพมหานคร,18,20.666666666666668
2020-01-01,กาญจนบุรี,12,38.0
2020-01-01,ขอนแก่น,36,20.0
2020-01-01,ฉะเชิงเทรา,13,15.0
2020-01-01,ชลบุรี,21,23.0
2020-01-01,ตาก,6,35.0
2020-01-01,นครปฐม,16,34.0
2020-01-01,นครราชสีมา,55,15.0
2020-01-01,นครสวรรค์,12,35.0
2020-01-01,นนทบุรี,11,24.0
2020-01-01,นราธิวาส,13,15.0
2020-01-01,น่าน,4,19.0
2020-01-01,ปทุมธานี,18,23.0
2020-01-01,ปราจีนบุรี,6,15.0
2020-01-01,พระนครศรีอยุธยา,22,18.0
2020-01-01,พะเยา,2,22.0
2020-01-01,ภูเก็ต,12,8.0
2020-01-01,ยะลา,15,12.5
2020-01-01,ระยอง,7,22.0
2020-01-01,ราชบุรี,19,45.0
2020-01-01,ลำปาง,10,19.25
2020-01-01,ลำพูน,5,28.0
2020-01-01,สงขลา,35,12.0
2020-01-01,สตูล,16,7.0
2020-01-01,สมุทรปราการ,8,23.4
2020-01-01,สมุทรสงคราม,5,
2020-01-01,สมุทรสาคร,13,29.5
2020-01-01,สระบุรี,8,20.5
2020-01-01,สระแก้ว,9,15.0
2020-01-01,สุราษฎร์ธานี,18,13.0
2020-01-01,อุบลราชธานี,45,
2020-01-01,เชียงราย,11,19.0
2020-01-01,เชียงใหม่,35,28.0
2020-01-01,เลย,9,13.0
2020-01-01,แพร่,5,20.0
2020-01-01,แม่ฮ่องสอน,5,24.0
2020-01-02,กรุงเทพมหานคร,69,25.583333333333332
2020-01-02,กาญจนบุรี,37,29.0
2020-01-02,ขอนแก่น,167,21.0
2020-01-02,ฉะเชิงเทรา,21,23.0
2020-01-02,ชลบุรี,78,27.666666666666668
2020-01-02,ตาก,9,32.0
2020-01-02,นครปฐม,44,27.0
2020-01-02,นครราชสีมา,106,19.0
2020-01-02,นครสวรรค์,29,23.0
2020-01-02,นนทบุรี,30,28.0
2020-01-02,นราธิวาส,33,13.0
2020-01-02,น่าน,20,14.5
2020-01-02,ปทุมธานี,58,23.0
2020-01-02,ปราจีนบุรี,14,22.0
2020-01-02,พระนครศรีอยุธยา,43,20.0
2020-01-02,พะเยา,12,19.0
2020-01-02,ภูเก็ต,34,15.0
2020-01-02,ยะลา,42,11.0
2020-01-02,ระยอง,23,28.4
2020-01-02,ราชบุรี,48,40.0
2020-01-02,ลำปาง,26,17.5
2020-01-02,ลำพูน,25,22.0
2020-01-02,สงขลา,100,12.0
2020-01-02,สตูล,58,8.0
2020-01-02,สมุทรปราการ,36,27.0
2020-01-02,สมุทรสงคราม,9,
2020-01-02,สมุทรสาคร,88,29.0
2020-01-02,สระบุรี,43,24.0
2020-01-02,สระแก้ว,16,21.0
2020-01-02,สุราษฎร์ธานี,55,23.0
2020-01-02,หนองคาย,10,
2020-01-02,อุบลราชธานี,92,
2020-01-02,เชียงราย,51,17.5
2020-01-02,เชียงใหม่,98,20.0
2020-01-02,เลย,22,17.0
2020-01-02,แพร่,36,16.0
2020-01-02,แม่ฮ่องสอน,14,18.0
2020-01-03,กรุงเทพมหานคร,53,29.833333333333332
2020-01-03,กาญจนบุรี,49,43.0
2020-01-03,ขอนแก่น,162,24.0
2020-01-03,ฉะเชิงเทรา,39,27.0
2020-01-03,ชลบุรี,58,29.666666666666668
2020-01-03,ตาก,11,33.0
2020-01-03,นครปฐม,76,38.0
2020-01-03,นครราชสีมา,89,24.0
2020-01-03,นครสวรรค์,29,29.0
2020-01-03,นนทบุรี,23,30.5
2020-01-03,นราธิวาส,38,14.0
2020-01-03,น่าน,25,13.0
2020-01-03,ปทุมธานี,38,29.0
2020-01-03,ปราจีนบุรี,26,25.0
2020-01-03,พระนครศรีอยุธยา,42,32.0
2020-01-03,พะเยา,26,18.0
2020-01-03,ภูเก็ต,17,9.0
2020-01-03,ยะลา,39,10.0
2020-01-03,ระยอง,32,30.2
2020-01-03,ราชบุรี,34,66.0
2020-01-03,ลำปาง,27,20.75
2020-01-03,ลำพูน,20,26.0
2020-01-03,สงขลา,128,12.0
2020-01-03,สตูล,23,8.0
2020-01-03,สมุทรปราการ,34,31.2
2020-01-03,สมุทรสงคราม,9,
2020-01-03,สมุทรสาคร,98,39.0
2020-01-03,สระบุรี,74,34.5
2020-01-03,สระแก้ว,13,28.0
2020-01-03,สุราษฎร์ธานี,63,23.0
2020-01-03,หนองคาย,11,
2020-01-03,อุบลราชธานี,150,
2020-01-03,เชียงราย,100,19.0
2020-01-03,เชียงใหม่,97,21.0
2020-01-03,เลย,27,16.0
2020-01-03,แพร่,31,25.0
2020-01-03,แม่ฮ่องสอน,4,16.0
2020-01-04,กรุงเทพมหานคร,14,36.583333333333336
2020-01-04,กาญจนบุรี,5,51.0
2020-01-04,ขอนแก่น,80,28.0
2020-01-04,ฉะเชิงเทรา,13,34.0
2020-01-04,ชลบุรี,33,41.333333333333336
