year,total_pop,TambonID,TambonThaiShort,DistrictThaiShort,ProvinceThai
2019,3685,100101,พระบรมมหาราชวัง,พระนคร,กรุงเทพมหานคร
2019,10414,100102,วังบูรพาภิรมย์,พระนคร,กรุงเทพมหานคร
2019,3138,100103,วัดราชบพิธ,พระนคร,กรุงเทพมหานคร
2019,3099,100104,สำราญราษฎร์,พระนคร,กรุงเทพมหานคร
2019,3130,100105,ศาลเจ้าพ่อเสือ,พระนคร,กรุงเทพมหานคร
2019,2146,100106,เสาชิงช้า,พระนคร,กรุงเทพมหานคร
2019,4463,100107,บวรนิเวศ,พระนคร,กรุงเทพมหานคร
2019,2233,100108,ตลาดยอด,พระนคร,กรุงเทพมหานคร
2019,1843,100109,ชนะสงคราม,พระนคร,กรุงเทพมหานคร
2019,6430,100110,บ้านพานถม,พระนคร,กรุงเทพมหานคร
2019,4302,100111,บางขุนพรหม,พระนคร,กรุงเทพมหานคร
2019,2818,100112,วัดสามพระยา,พระนคร,กรุงเทพมหานคร
2019,12404,100201,ดุสิต,ดุสิต,กรุงเทพมหานคร
2019,10596,100202,วชิรพยาบาล,ดุสิต,กรุงเทพมหานคร
2019,7282,100203,สวนจิตรลดา,ดุสิต,กรุงเทพมหานคร
2019,7187,100204,สี่แยกมหานาค,ดุสิต,กรุงเทพมหานคร
2019,52300,100206,ถนนนครไชยศรี,ดุสิต,กรุงเทพมหานคร
2019,39700,100301,กระทุ่มราย,หนองจอก,กรุงเทพมหานคร
2019,22375,100302,หนองจอก,หนองจอก,กรุงเทพมหานคร
2019,9085,100303,คลองสิบ,หนองจอก,กรุงเทพมหานคร
2019,11699,100304,คลองสิบสอง,หนองจอก,กรุงเทพมหานคร
2019,34190,100305,โคกแฝด,หนองจอก,กรุงเทพมหานคร
2019,17940,100306,คู้ฝั่งเหนือ,หนองจอก,กรุงเทพมหานคร
2019,31353,100307,ลำผักชี,หนองจอก,กรุงเทพมหานคร
2019,9680,100308,ลำต้อยติ่ง,หนองจอก,กรุงเทพมหานคร
2019,10980,100401,มหาพฤฒาราม,บางรัก,กรุงเทพมหานคร
2019,18713,100402,สีลม,บางรัก,กรุงเทพมหานคร
2019,5075,100403,สุริยวงศ์,บางรัก,กรุงเทพมหานคร
2019,2760,100404,บางรัก,บางรัก,กรุงเทพมหานคร
2019,10699,100405,สี่พระยา,บางรัก,กรุงเทพมหานคร
2019,91840,100502,อนุสาวรีย์,บางเขน,กรุงเทพมหานคร
2019,97160,100508,ท่าแร้ง,บางเขน,กรุงเทพมหานคร
2019,78147,100601,คลองจั่น,บางกะปิ,กรุงเทพมหานคร
2019,67961,100608,หัวหมาก,บางกะปิ,กรุงเทพมหานคร
2019,16551,100701,รองเมือง,ปทุมวัน,กรุงเทพมหานคร
2019,6805,100702,วังใหม่,ปทุมวัน,กรุงเทพมหานคร
2019,5384,100703,ปทุมวัน,ปทุมวัน,กรุงเทพมหานคร
2019,18345,100704,ลุมพินี,ปทุมวัน,กรุงเทพมหานคร
2019,14581,100801,ป้อมปราบ,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร
2019,6491,100802,วัดเทพศิรินทร์,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร
2019,9128,100803,คลองมหานาค,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร
2019,6613,100804,บ้านบาตร,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร
